Date,Cash,Equity,Positions,Market_Value,Total_Exposure,Drawdown
2017-08-06,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-07,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-08,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-09,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-10,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-11,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-12,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-13,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-14,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-15,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-16,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-17,82660.1980588684,99982.6775205383,1,17322.4794616699,0.173254806644997,-0.49204539166092
2017-08-18,82178.0453902512,117372.296298149,2,35194.250907898,0.299851430174779,-0.403698717873026
2017-08-19,1e+05,135194.250907898,2,35194.250907898,0.26032357642097,-0.31315559382264
2017-08-20,1e+05,135194.250907898,2,35194.250907898,0.26032357642097,-0.31315559382264
2017-08-21,1e+05,135009.80009079,2,35009.8000907898,0.25931302814497,-0.314092682575267
2017-08-22,1e+05,135200.19990921,2,35200.1999092102,0.260356123236858,-0.313125370360871
2017-08-23,83295.3124276733,135445.311092529,3,52149.998664856,0.385026238591824,-0.311880101098135
2017-08-24,80941.099795723,151719.711074257,4,70778.6112785339,0.466509003855751,-0.229199214031735
2017-08-25,81030.6492089844,170867.391060791,5,89836.7418518066,0.525768792360414,-0.131920840123774
2017-08-26,1e+05,189836.741851807,5,89836.7418518066,0.473231582966886,-0.0355484545221017
2017-08-27,1e+05,189836.741851807,5,89836.7418518066,0.473231582966886,-0.0355484545221017
2017-08-28,1e+05,189700.211620331,5,89700.2116203308,0.472852459436673,-0.0362420862788778
2017-08-29,1e+05,189624.36277771,5,89624.36277771,0.472641602929332,-0.0366274307215542
2017-08-30,1e+05,189760.88722229,5,89760.88722229,0.473021013635661,-0.0359338283646746
2017-08-31,1e+05,190564.901157379,5,90564.9011573792,0.475244394992683,-0.0318490949525947
2017-09-01,1e+05,190640.75,5,90640.75,0.475453175672043,-0.0314637505099183
2017-09-02,1e+05,190640.75,5,90640.75,0.475453175672043,-0.0314637505099183
2017-09-03,1e+05,190640.75,5,90640.75,0.475453175672043,-0.0314637505099183
2017-09-04,1e+05,190640.75,5,90640.75,0.475453175672043,-0.0314637505099183
2017-09-05,117833.828678528,192094.390171448,4,74260.5614929199,0.386583707242263,-0.0240786389859543
2017-09-06,118529.072058819,175342.711074017,3,56813.6390151978,0.324014831681343,-0.109184307347453
2017-09-07,1e+05,157034.920562744,3,57034.9205627441,0.363198964652932,-0.202195684811284
2017-09-08,81005.4238707543,155522.305947018,4,74516.8820762634,0.479139513927021,-0.209880411643505
2017-09-09,1e+05,174516.882076263,4,74516.8820762634,0.426989533560998,-0.113379870574119
2017-09-10,1e+05,174516.882076263,4,74516.8820762634,0.426989533560998,-0.113379870574119
2017-09-11,116897.885157318,174710.255011292,3,57812.3698539734,0.330904272621186,-0.112397453660395
2017-09-12,119551.588447327,158146.88767218,2,38595.2992248535,0.244047162691289,-0.196546418042613
2017-09-13,119676.303756104,139064.553515778,1,19388.2497596741,0.139419063086226,-0.293492807287089
2017-09-14,1e+05,119397.700576782,1,19397.7005767822,0.162462932561318,-0.393408801033481
2017-09-15,1e+05,119325.249519348,1,19325.2495193481,0.161954402753749,-0.393776883279479
2017-09-16,1e+05,119325.249519348,1,19325.2495193481,0.161954402753749,-0.393776883279479
2017-09-17,1e+05,119325.249519348,1,19325.2495193481,0.161954402753749,-0.393776883279479
2017-09-18,1e+05,119466.999759674,1,19466.9997596741,0.162948762409995,-0.393056731653294
2017-09-19,1e+05,119485.900192261,1,19485.9001922607,0.163081168245849,-0.39296070940154
2017-09-20,1e+05,119684.350528717,1,19684.350528717,0.164468875352204,-0.391952497124881
2017-09-21,1e+05,119766.25,1,19766.25,0.165040234623694,-0.391536412910191
2017-09-22,1e+05,119826.099567413,1,19826.0995674133,0.165457272155131,-0.391232351603487
2017-09-23,1e+05,119826.099567413,1,19826.0995674133,0.165457272155131,-0.391232351603487
2017-09-24,1e+05,119826.099567413,1,19826.0995674133,0.165457272155131,-0.391232351603487
2017-09-25,1e+05,120342.700576782,1,20342.7005767822,0.1690397546281,-0.38860779833197
2017-09-26,1e+05,120298.600769043,1,20298.600769043,0.168735136063748,-0.38883184414794
2017-09-27,120514.315918274,120514.315918274,0,0,0,-0.387735919265173
