Trade_ID,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Predicted_Return,Actual_Return,Uncertainty,Holding_Days
1,2017-03-31,2017-04-19,63.3600006103516,61.9599990844727,0.0530756561928411,-0.0220959834657921,0.0664847473487569,19
2,2017-04-19,2017-05-08,61.9599990844727,60.5999984741211,0.0279510119715717,-0.0219496551072801,0.045115071704238,19
3,2017-04-20,2017-05-09,61.9300003051758,59.8800010681152,0.0362499585137352,-0.0331018767472736,0.139320524073814,19
4,2017-04-21,2017-05-10,61.8600006103516,61.3300018310547,0.0341973192252723,-0.00856771377412802,0.127465865952369,19
5,2017-04-26,2017-05-15,62.4300003051758,61.310001373291,0.0244433185648384,-0.0179400757073505,0.219219684160547,19
6,2017-04-27,2017-05-16,61.5200004577637,60.5299987792969,0.0446036317836964,-0.0160923548618385,0.0693511182322628,19
7,2017-04-28,2017-05-17,61.5400009155274,60.2700004577637,0.0483692406237502,-0.0206369912068564,0.0668600786505694,19
8,2017-05-03,2017-05-22,60.1699981689453,60.5900001525879,0.0568389483560372,0.00698025588206419,0.097144944343601,19
9,2017-05-04,2017-05-23,58.0200004577637,61.560001373291,0.0570159263130334,0.0610134589382558,0.0421468745592328,19
10,2017-05-05,2017-05-24,60.4000015258789,61.1599998474121,0.0616930723572414,0.0125827533498915,0.0566054832213107,19
11,2017-05-11,2017-05-30,61.0699996948242,60.1199989318848,0.053710621372507,-0.0155559320073153,0.0178389703951429,19
12,2017-05-12,2017-05-31,60.8699989318848,58.9300003051758,0.0483794886740267,-0.031871178918204,0.0496559414833797,19
13,2017-05-17,2017-06-05,60.2700004577637,60.060001373291,0.0585853815968101,-0.00348430534059507,0.0330072539536741,19
14,2017-05-18,2017-06-06,60.2900009155274,61.6500015258789,0.0549460952806693,0.0225576478636493,0.0627163404692432,19
15,2017-05-19,2017-06-07,60.6399993896484,60.1300010681152,0.0498214216458513,-0.00841026264291589,0.0596786853901667,19
16,2017-05-24,2017-06-12,61.1599998474121,60.8499984741211,0.0281312033472232,-0.00506869480157679,0.0592736822962611,19
17,2017-05-25,2017-06-13,60.7099990844727,61,0.0392902647216466,0.00477682292704085,0.0526561121729543,19
18,2017-05-31,2017-06-19,58.9300003051758,62.0299987792969,0.0429668091662174,0.0526047591730425,0.0371461793586098,19
19,2017-06-08,2017-06-27,58.6100006103516,59.6300010681152,0.0196715170381497,0.0174031811489783,0.12484818017548,19
20,2017-06-21,2017-07-10,59.8800010681152,58.7700004577637,0.026749496340357,-0.0185370840105514,0.0482872026655856,19
21,2017-06-22,2017-07-11,60.2099990844727,58.939998626709,0.0431928837389209,-0.021092849644158,0.0741312002957243,19
22,2017-06-23,2017-07-12,60.1199989318848,59.1599998474121,0.0207862814594027,-0.0159680489276176,0.376675157666795,19
23,2017-06-29,2017-07-18,59.7999992370606,60.2400016784668,0.0239816889941437,0.0073579004518376,0.143361145010842,19
24,2017-06-30,2017-07-19,59.8699989318848,60.8899993896484,0.0520402231852608,0.0170369212620856,0.0622630947227289,19
25,2017-07-05,2017-07-24,59.75,59.4099998474121,0.0228317805468156,-0.0056903791228099,0.0661577060937257,19
26,2017-07-06,2017-07-25,58.8699989318848,61.0099983215332,0.0453756784266781,0.0363512727785933,0.0752893874964669,19
27,2017-07-12,2017-07-31,59.1599998474121,61.9300003051758,0.0426057350817597,0.0468221850052091,0.0481688082296321,19
28,2017-07-13,2017-08-01,59.5,61.5299987792969,0.0416716801124953,0.0341176265428047,0.0512007199733646,19
29,2017-08-17,2017-09-05,58.9199981689453,60.7200012207031,0.0245025586727604,0.0305499509113449,0.132664457367148,19
30,2017-08-18,2017-09-06,59.1500015258789,61.6199989318848,0.0305640376306104,0.0417581968265073,0.10909296656685,19
31,2017-08-23,2017-09-11,59.5999984741211,60.4099998474121,0.0505606541629488,0.0135906274165885,0.165248985426489,19
32,2017-08-24,2017-09-12,59.1300010681152,60.7799987792969,0.0376267127268029,0.0279045777334066,0.0467903730437442,19
33,2017-08-25,2017-09-13,59.2200012207031,61.5499992370606,0.0475848987385703,0.0393447816333861,0.0504140803826474,19
34,2017-08-30,2017-09-18,59.1699981689453,61.7999992370606,0.0553050561610802,0.044448219528517,0.0345176807297673,19
35,2017-08-31,2017-09-19,59.7000007629395,61.8600006103516,0.0350174411000846,0.0361809015043262,0.142395282874889,19
36,2017-09-01,2017-09-20,59.75,62.4900016784668,0.0335173266108876,0.0458577686772685,0.0187944061443663,19
37,2017-09-08,2017-09-27,60.2400016784668,65.1900024414063,0.0220203047010826,0.0821713251164942,0.0497708019292251,19
38,2018-02-02,2018-02-21,73.5800018310547,67.2099990844727,0.0188760969060618,-0.0865724733360029,0.0586433541426131,19
39,2018-02-07,2018-02-26,69.870002746582,67.2699966430664,0.0535255976875521,-0.0372120509705121,0.0337349159256309,19
40,2018-02-08,2018-02-27,68.4700012207031,66.75,0.0548998122753898,-0.0251205081063012,0.0483493439461109,19
41,2018-02-09,2018-02-28,68.1800003051758,65.5999984741211,0.0694532330903408,-0.0378410357803831,0.0428734070926026,19
42,2018-02-14,2018-03-05,69.8499984741211,65.9199981689453,0.0437451786873013,-0.0562634272158477,0.0637838544856578,19
43,2018-02-15,2018-03-06,69.4300003051758,65.6600036621094,0.0600628797378191,-0.0542992456646347,0.124330174326541,19
44,2018-02-16,2018-03-07,68.1600036621094,65.1900024414063,0.0650322245481732,-0.0435739592302012,0.105068612303931,19
45,2018-02-21,2018-03-12,67.2099990844727,63.8899993896484,0.0878761705401736,-0.0493974072317943,0.103638020084485,19
46,2018-02-22,2018-03-13,67.9199981689453,64.1999969482422,0.0742998071940694,-0.0547703374704153,0.0712893917162716,19
47,2018-02-23,2018-03-14,68.3199996948242,64.0400009155274,0.057190900755186,-0.0626463524358171,0.0735906517340295,19
48,2018-02-28,2018-03-19,65.5999984741211,63.6500015258789,0.072126329057536,-0.0297255639268262,0.0896815459887435,19
49,2018-03-01,2018-03-20,65.629997253418,63.9099998474121,0.0758436914835518,-0.0262074886178101,0.0587345033085873,19
50,2018-03-02,2018-03-21,65.6399993896484,66.0400009155273,0.0790284114699438,0.00609386851916982,0.105552029236983,19
51,2018-03-07,2018-03-26,65.1900024414063,67.1999969482422,0.0591819154579507,0.0308328644203157,0.0925473850307061,19
52,2018-03-08,2018-03-27,62.9599990844727,65.8199996948242,0.0658172862325248,0.0454256774450448,0.0876657535304877,19
53,2018-03-09,2018-03-28,63.6699981689453,63.1500015258789,0.0714141282281725,-0.00816705918047333,0.0889681125848924,19
54,2018-03-14,2018-04-02,64.0400009155274,64.6699981689453,0.0748982325258375,0.00983755846988466,0.0699005208288905,19
55,2018-03-15,2018-04-03,63.9099998474121,66.629997253418,0.0592224743082705,0.0425598093021431,0.0368078488040248,19
56,2018-03-16,2018-04-04,64.4499969482422,66.620002746582,0.0537142669992218,0.0336696028097954,0.0358082622112885,19
57,2018-03-21,2018-04-09,66.0400009155273,68.9300003051758,0.0500518939256465,0.0437613469046598,0.0698126776012483,19
58,2018-03-22,2018-04-10,65.1800003051758,70.5100021362305,0.0497798133845927,0.0817735778781739,0.031192960669987,19
59,2018-03-23,2018-04-11,65.4899978637695,71.6800003051758,0.0475982074939206,0.0945182874227988,0.095787930682394,19
60,2018-03-28,2018-04-16,63.1500015258789,74.9100036621094,0.0590416109749959,0.186223307237945,0.0935615960110047,19
61,2018-03-29,2018-04-17,64.9599990844727,75.2200012207031,0.0656435239903175,0.157943384865024,0.0393035732214087,19
62,2018-06-20,2018-07-09,83.2399978637695,85.25,0.033523498590135,0.0241470709732601,0.0451003803593946,19
63,2018-06-21,2018-07-10,82.0899963378906,85.6999969482422,0.0331193643315757,0.043976133163564,0.0507568644155387,19
64,2018-06-29,2018-07-18,83.6800003051758,82.9599990844727,0.0218630877892309,-0.00860422105732939,0.0441540829304146,19
65,2018-07-05,2018-07-24,84.1900024414063,83.4599990844727,0.0312328664626103,-0.00867090314484376,0.0849276931407155,19
66,2018-07-06,2018-07-25,84.25,84.3300018310547,0.0321202533572972,0.000949576629729165,0.0245998686725858,19
67,2018-07-11,2018-07-30,83.9300003051758,83.3099975585938,0.0239321953626898,-0.00738714100235505,0.0241091494356182,19
68,2018-08-01,2018-08-20,82.6399993896484,79.0100021362305,0.0182528540685353,-0.0439254269146651,0.0414630483814819,19
69,2018-08-02,2018-08-21,82.2399978637695,78.8899993896484,0.0302444566611805,-0.0407344183017899,0.0462325730764166,19
70,2018-08-03,2018-08-22,82.2900009155273,79.3300018310547,0.0276463991044154,-0.0359703372407441,0.0723460308408506,19
71,2018-08-08,2018-08-27,81.1999969482422,80.2099990844727,0.0546731274377035,-0.0121920923765622,0.0279006924428391,19
72,2018-08-09,2018-08-28,77.7900009155274,80.1100006103516,0.0423384726321015,0.0298238805440241,0.134483858510622,19
73,2018-08-10,2018-08-29,78.7799987792969,80.2300033569336,0.0413597423019253,0.0184057451143014,0.125075554137615,19
74,2018-08-16,2018-09-04,78.0199966430664,79.2699966430664,0.0321988514244969,0.0160215336296234,0.166232599314732,19
75,2018-08-17,2018-09-05,78.5500030517578,79.1399993896484,0.0349507277908567,0.00751109248846071,0.123715153681083,19
76,2018-08-22,2018-09-10,79.3300018310547,76.879997253418,0.0537691747517444,-0.0308837075644391,0.0768402046104817,19
77,2018-08-23,2018-09-11,78.9800033569336,77.120002746582,0.0424326204693419,-0.0235502726170532,0.0491218631820359,19
78,2018-08-24,2018-09-12,79.3399963378906,75.7399978637695,0.0418833042684026,-0.0453743211530984,0.0858888935750825,19
79,2018-08-29,2018-09-17,80.2300033569336,77.5999984741211,0.0327786079958705,-0.0327808148170196,0.0508598569278004,19
80,2018-08-30,2018-09-18,80.129997253418,78.879997253418,0.024965307062666,-0.0155996511025299,0.199464069142866,19
81,2018-08-31,2018-09-19,79.870002746582,79.379997253418,0.0273500526286233,-0.00613503789049297,0.140734072578953,19
82,2018-09-05,2018-09-24,79.1399993896484,80.75,0.0389847107722459,0.0203437025874194,0.117503580678429,19
83,2018-09-06,2018-09-25,77.5699996948242,81.3099975585938,0.0499055195680904,0.0482144885713991,0.0775388263048582,19
84,2018-09-07,2018-09-26,76.6500015258789,81.0100021362305,0.04828438893682,0.0568819376850178,0.105926760291499,19
85,2018-09-12,2018-10-01,75.7399978637695,83.129997253418,0.0406952567311264,0.0975706310810904,0.107617854610644,19
86,2018-10-17,2018-11-05,72.9199981689453,69.9499969482422,0.0650889943954973,-0.0407295844114265,0.120226226457629,19
87,2018-10-18,2018-11-06,71.9000015258789,73.3399963378906,0.0756631746780711,0.0200277438310403,0.0834486083025466,19
